ESCOLA,SÉRIE,DATADEINÍCIO,IDADE,SEXO,RELIGIÃO,RAÇA,CORDEPELE,BEMCONSIGOMESMO,ACREDITOEMSORTEMAISDOQUETRABALHO,ALGOMEIMPEDEDECONQUISTARASCOISAS,PLANOSSEMPREDÃOERRADO,INÚTIL,ACREDITONOSMEUSPLANOS,INCLUSÃODEPORTADORESDEDEFICIÊNCIAEMSALASCOMUNS,FILHALÉSBICA,TANTOFAZBRANCOSOUNEGROS,IMPORTANTEESCOLASESPECIAISPARAPORTADORESDEDEFICIÊNCIA,GAYSREVEJAMSUAOPÇÃO,BRANCOSMAISDISCIPLINADOS,ALGUNSGRUPOSTEMMAISVALOR,USARFORÇACONTRAOUTROS,TANTOFAZAMIGOSBRANCOSENEGROS,NORMALUMGRUPOTERMAISOPORTUNIDADE,GRUPOSSUPERIORESDEVEMCONDUZIR,PAISENCORAJADORES,PAISAPOIAMATIVIDADESEXTERNAS,PAISQUEOUVEM,PAISORGULHOSOS,PAISQUEAJUDAMATOMARDECISÕES,SATISFEITOCOMSITUAÇÃOFINANCEIRA,FREQUENCIASEMCOMIDA,FREQUENCIADESENTIREMINSEGUROS,FREQUENCIASEMREMEDIO,FREQUENCIASEMDINHEIRO,CRIMENAESCOLA,BULLYINGNAESCOLA,AMEAÇASNAESCOLA,ALUNOSGOSTAMDEDIMINUIROSOUTROS,ALUNOSSEAJUDAMAAPRENDER,ALUNOSNÃOSEDÃOBEM,ALUNOSSETRATAMCOMRESPEITO,MEDODESOFRERBULLYINGNAESCOLA,MEDODESOFRERBULLYINGNAINTERNET,SEMPREESTUDO,FAÇOBEMMINHALIÇÃO,PREFIROESTUDARASAIRCOMAMIGOS,GRUPOSINFERIORESPERMANCEMNOSEULUGAR,GRUPOSDEVEMTERMESMAOPORTUNIDADE,AUMENTARIGUALDADESOCIAL,SALÁRIOSMAISIGUAIS,BRIGAENTREALUNOS,DESORDEMNASSALAS,DESRESPEITOCOMPROFESSOR,AMEAÇAAPROFESSORES,ROUBOSNAESCOLA,ALUNOSCOMBEBIDA,ALUNOSCOMDROGAS,ALUNOSFAZEMBULLYING,RESPEITOAOSPROFESSORES,SEGURANÇACOMPROFESSORES,PROFESSORESRESPEITOSOS,GAYSSEMVALORES,DEFICIÊNCIASEPARADA,NEGROSCOMOBRANCOS,CHEFEGAY,GAYSTRANSIMITEMIDEIASDIFERENTES,NEGROSMENOSTRABALHADORES,ROUBONOBAIRRO,BEBIDANOBAIRRO,INTERFERENCIAMILITARNOBAIRRO,COMPORTAMENTORACISTANOBAIRRO,VENDADEDROGASNOBAIRRO,AUTORIDADEÉVIRTUDE,HOMENSSÃOFRACOSOUFORTES,FALEMENOSETRABALHEMAIS,CASTIGARINSULTOS,SEMPREHAVERÁGUERRAS,DISCIPLINAFIRME,PENADEMORTE,PAI,PADRASTO,PAIADOTIVO,MÃE,MADRASTA,MÃEADOTIVA,IRMÃO,IRMÃ,AVÓ,MEUCONJUGE,MEUFILHO,OUTROSPARENTES,PESSOASQUENÃOSÃOPARENTES,HORASNAINTERNETPARAESTUDAR,HORASNAINTERNETPARACOMUNICAÇÃO,HORASNAINTERNETPARAJOGAR,HORASNATELEVISÃO
1,EF 7,10/05/2015,16,Masculino,Não Possui Religião,Moreno,11,4,1,2,2,2,3,3,3,4,3,2,2,3,3,4,2,3,4,4,3,3,3,7,1,1,1,1,2,2,2,2,3,3,2,2,2,2,2,3,2,3,3,3,2,2,2,1,1,1,1,1,3,3,3,3,1,2,1,2,2,1,3,2,2,2,2,2,2,2,1,3,3,1,0,0,1,0,0,NA,3,1,0,0,2,0,5,7,7,6
1,EF 7,10/02/2015,16,Masculino,Religião Afro-Brasileira,Branco,5,4,3,4,2,2,3,3,2,4,2,2,3,2,2,4,3,2,1,2,2,2,1,7,1,2,1,1,4,3,2,2,3,3,3,1,1,3,3,2,3,3,4,3,2,2,2,1,2,2,2,2,4,3,4,3,2,2,3,3,2,2,1,2,2,1,3,2,2,3,4,2,3,1,0,0,1,1,0,4,0,3,0,0,0,0,5,2,6,NA
1,EF 7,10/02/2015,15,Masculino,Não Possui Religião,Branco,5,4,1,2,2,1,3,1,4,4,2,2,1,1,2,4,3,2,4,3,3,3,4,10,1,1,1,1,3,3,2,3,2,2,2,1,1,2,2,2,1,3,4,4,2,2,2,2,2,2,2,3,3,2,4,1,1,1,3,1,1,3,3,2,2,4,3,1,1,2,4,3,4,1,0,0,1,0,0,2,0,0,0,0,0,0,2,6,6,6
1,EF 7,10/05/2015,16,Feminino,Evangélica,Branco,7,2,1,2,1,2,4,3,2,3,3,3,2,2,3,3,3,3,2,2,1,3,1,10,1,1,1,1,1,3,2,4,1,4,1,1,1,1,4,1,2,4,3,3,2,3,3,2,3,3,2,3,3,4,3,3,2,2,3,3,1,2,3,2,1,3,4,2,4,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,2,7,6,6
1,EF 7,10/05/2015,15,Feminino,Católica,Moreno,9,4,4,2,2,2,4,3,3,3,3,3,1,3,1,3,3,2,3,3,3,3,3,9,1,1,1,2,4,4,4,4,2,2,3,1,2,3,3,3,3,3,3,3,2,3,2,1,1,1,1,2,4,3,4,3,3,3,4,2,3,1,1,1,1,1,3,2,2,2,3,3,3,1,1,NA,1,NA,NA,3,NA,2,1,NA,NA,NA,7,7,6,5
1,EF 7,10/02/2015,15,Feminino,Evangélica,Moreno,9,4,3,4,1,3,3,3,2,3,1,2,3,2,1,3,1,2,3,4,3,4,4,10,1,2,1,2,3,4,3,3,2,1,4,3,3,3,3,2,2,3,3,3,3,2,3,2,3,1,3,2,3,3,3,1,2,3,2,3,2,3,1,1,2,4,3,2,4,3,2,3,2,1,NA,NA,1,NA,NA,2,NA,2,NA,NA,10,45,5,6,2,2
1,EF 7,09/28/2015,16,Masculino,Católica,Moreno,11,4,4,1,2,1,3,4,4,4,4,3,1,1,1,4,4,2,4,4,4,4,4,7,1,1,1,1,4,3,3,3,2,3,1,1,1,2,4,4,3,4,4,4,3,4,3,2,2,2,2,3,4,4,4,3,1,2,4,2,1,2,4,2,3,4,4,2,4,3,3,4,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,4,7,7,5
1,EF 7,10/05/2015,15,Masculino,Evangélica,Branco,3,3,1,1,2,1,4,3,4,4,4,2,1,2,1,4,2,1,4,4,4,4,4,10,1,1,1,1,3,3,3,3,3,2,2,1,1,2,3,2,1,4,4,3,2,2,2,2,2,2,2,2,4,4,3,2,2,2,4,1,1,2,2,2,2,2,3,1,4,3,3,4,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4
1,EF 7,10/02/2015,16,Feminino,Evangélica,Moreno,7,4,2,2,2,2,3,3,4,4,3,1,2,1,2,4,3,1,3,4,4,3,3,8,1,1,1,1,3,2,2,1,2,3,1,1,1,3,3,3,1,4,4,4,2,3,2,1,2,1,3,2,3,3,3,1,2,2,4,1,1,2,3,2,1,3,3,1,3,2,3,3,4,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,5,7,2
1,EF 7,10/02/2015,15,Feminino,Evangélica,Branco,2,2,1,3,2,3,3,2,3,3,3,3,1,2,3,3,1,3,3,3,3,3,3,4,1,1,1,3,2,3,3,3,1,3,2,1,1,2,3,3,2,4,4,4,3,3,2,2,3,3,3,3,3,2,3,2,3,2,3,3,2,3,4,3,2,4,4,2,4,3,3,4,4,1,0,0,1,0,0,1,1,0,0,0,0,0,2,2,6,6
